trial,Rhodamine,replicate,condition,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
3,B,2,virgin,25500.116,11.703,298426.905,218815.5428,NA,2,12005.569,3.122,37480.868
3,B,3,virgin,15532.24,65.324,1014633.277,968160.8149,NA,3,3397.074,2.992,10163.649
4,B,1,virgin,9364.013,96.306,901812.912,886502.7507,1254048.912,1,6457.75,1.635,10557.952
4,B,2,virgin,15512.938,122.097,1894089.47,1890133.671,NA,2,7577.24,0.255,1935.671
4,B,3,virgin,7808.859,132.919,1037946.802,985510.3138,NA,3,13345.649,6.715,89611.62
4,110,1,virgin,7999.117,41.811,334449.127,332689.3213,355923.8281,1,4971.53,0.22,1094.674
4,110,2,virgin,7199.481,85.632,616505.553,616267.9701,NA,2,5636.055,0.033,187.501
4,110,3,virgin,8360.332,14.251,119140.246,118814.1931,NA,3,10759.24,0.039,419.12
5,110,9,vial,8360.332,30.984,259040.697,246307.9114,259305.3245,1,7946.727,1.523,12102.077
5,110,9,vial,8931.107,39.008,348384.852,197824.2502,NA,2,13072.67,16.858,220385.19
5,110,9,vial,6628.707,64.825,429707.831,333783.812,NA,3,14922.862,14.471,215948.589
5,110,9,vial,17647.139,252.895,4462875.934,3930673.516,2984311.353,1,9446.734,30.158,284899.27
5,110,9,vial,20812.594,232.636,4841754.49,3204594.221,NA,2,12273.034,78.662,965425.333
5,110,9,vial,31941.321,184.555,5894944.008,1817666.324,NA,3,7224.297,127.649,922173.299
5,110,4,vial,20691.27,25.182,521037.289,491531.538,561059.0146,1,15989.962,1.426,22797.897
5,110,4,vial,41360.482,23.56,974458.462,891530.6956,NA,2,19020.307,2.005,38128.849
5,110,4,vial,29581.016,12.448,368210.309,300114.8102,NA,3,12959.618,2.302,29837.451
5,110,1,vial,18562.584,58.623,1088186,1028878.544,2245137.427,1,16400.81,3.195,52406.488
5,110,1,vial,22875.104,95.04,2174047.541,2098468.197,NA,2,4301.49,3.304,14214.219
5,110,1,vial,28169.245,133.737,3767278.111,3608065.538,NA,3,18943.101,5.652,107074.015
5,110,1,vial,11713.288,16.454,192728.815,173811.8549,186988.225,1,14172.858,1.615,22888.891
5,110,1,vial,7389.739,20.871,154227.721,143357.4149,NA,2,9559.786,1.471,14059.806
5,110,1,vial,5409.951,49.171,266014.074,243795.4052,NA,3,16285,4.107,66882.656
5,110,2,vial,23371.429,76.834,1795714.943,1561486.482,4510195.677,1,4359.395,10.022,43687.698
5,110,2,vial,39171.133,116.08,4546967.308,4138255.706,NA,2,5227.965,10.434,54546.203
5,110,2,vial,68878.989,116.116,7997945.271,7830844.844,NA,3,4053.327,2.426,9832.765
5,110,3,vial,22533.19,63.747,1436413.682,1403875.756,3886137.28,1,7378.71,1.444,10657.217
5,110,3,vial,36044.281,126.636,4564487.608,3927585.163,NA,2,19012.035,17.67,335940.861
5,110,3,vial,39044.295,190.365,7432685.355,6326950.921,NA,3,6030.358,28.32,170780.186
5,110,8,vial,6281.278,30.061,188821.628,-184405.6295,-234752.6661,1,12860.352,59.419,764145.928
5,110,8,vial,8379.634,25.217,211307.943,-204573.2924,NA,2,16414.596,49.63,814649.833
5,110,8,vial,8415.479,19.261,162088.97,-315279.0763,NA,3,12182.041,56.725,691031.626
5,110,7,vial,6697.641,13.434,89975.592,77611.74671,175174.0713,1,6446.72,1.846,11900.789
5,110,7,vial,8713.275,10.338,90077.614,78480.24498,NA,2,21275.832,1.331,28309.871
5,110,7,vial,11194.904,34.743,388942.94,369430.2223,NA,3,9490.852,1.743,16544.193
